Input,Material,Colour,Weight,Volume
"Bewinner Portable 750ml Car Kettle, 24V Travel Truck Kettle for Self-driving Tour to Heat and Boil Tea/Coffee with 304 Stainless Steel Kettle Body and Inner Heating Tube
Brand	Bewinner
Colour	Default
Capacity	750 Millilitres
Material	Plastic
Item Dimensions L x W x H	8.5 x 8.5 x 22 centimetres
【304 Stainless Steel】The kettle body adopts 304 stainless steel ensuring safe and clean of water
【24V Power & Cigarette Lighter Plug】24V power supply, plug into the cigarette lighter socket, suitable for self-driving tour
【Inner Stainless Steel Heating Tube】Inner stainless steel heating tube design, quick to heat
【Auto Cut Off Power】Auto cut off power when water is boiling and the green indicator lights on
【Premium Plastic Handle】Premium plastic handle is comfortable to grip, stable and heat insulation
Description:
This kettle is an necessity of your self-driving tour to bring you great convenience, you can enjoy hot water, tea and coffee anytime, or prepare milk for baby. It adopts 304 stainless steel kettle body and inner heating tube, quick to heat and boil.
Features:
The kettle body adopts 304 stainless steel ensuring safe and clean of water. Premium plastic handle is comfortable to grip, stable and heat insulation. Inner stainless steel heating tube design, quick to heat. Auto cut off power when water is boiling and the green indicator lights on. 24V power supply, plug into the cigarette lighter socket, suitable for self-driving tour.
Specifications:
Condition: 100% Brand New
Material: Stainless Steel + PP
Color: as Shown in the Picture
Voltage: 24V
Capacity: 750ml
Power: 240W
Max. Heating Temperature: 100℃ (auto power off after boiling)
Heating Time: about 15 minutes
Height: approx. 22cm / 8.66in
Diameter: approx. 8.5cm / 3.35in
Weight: approx. 622g",metal,other,750g,750ml
"Signature Cordless Jug Kettle, Boil Dry and Overheat Protection, Removable and Washable Filter, 1.7 Litre, White
Brand Signature
Colour White
Capacity 1.7 litres
Material Plastic
Power / Wattage 2200 watts
1.7 Litre capacity boils up to seven cups of water at once
360 degrees swivel base, ideal for left and right-handed users
Clear water gauge for accuracy and precision
Highly visible light for easy usage making it suitable for all users
Overheat and boil dry protection for optimum safety
Comes with 1 year guarantee, get extended 1 year warranty upon registration
Brand Signature
Model Number S101
Colour White
Product Dimensions 23 x 12.5 x 23 cm; 735 Grams
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Material Plastic
Auto Shutoff No
Item Weight 735 g
",plastic,white,735g,1L
"Caterlite Hotel Room Kettle Plastic White 1.0Ltr Kitchen Hot Water Jug
Brand Caterlite
Colour White
Capacity 5 Cups
Material Stainless Steel
1kW. Capacity: 1Ltr
Cordless
Automatic cut off and overheating protection
Dimensions: 221(H) x 113(W) x 193(D)mm
Stainless steel heating element
Brand Caterlite
Model Number KE-1008 WHITE
Colour White
Package Dimensions 21.2 x 15.6 x 15.2 cm; 760 Grams
Capacity 5 Cups
Volume Capacity 1 litres
Material Stainless Steel
Special Features Cordless
Item Weight 760 g
",metal,white,760g,1L
"NETTA Electric Glass Kettle - 1.7L Capacity - Temperature Control - Fast Boil - Blue LED Illumination - Swivel Base with Flip Top - 3000W
Brand NETTA
Capacity 1.7 litres
Power / Wattage 3000 watts
VARIABLE TEMPERATURE: This NETTA 1.7L Fast Boil Kettle allows you to set the temperature anywhere from 50 to 100 degrees allowing you to use it for many different purposes.
ULTRA-FAST BOILING: This kettle has 3000W power that allows the full tank of water to easily heat up in as quick as 5-6 minutes.
UNIQUE ILLUMINATED DESIGN: This 1.7L capacity electric kettle is ideal for heating water for instant soups, hot drinks and teas. No more guess about water levels with this tea kettle that also makes water boiling a visual delight. The soft blue LED illumination when boiling will surely please your eyes and convenient easy-to-read litre markings allow for precise measuring!
SWIVEL BASE & FLIP-TOP LID: This cordless jug kettle sits on a base that lets the unit swivel through a full 360 degrees so that you can turn the handle to the best position for you.
100% SAFE & CONVENIENT: The kettle comes with boil dry protection, automatic shut-off feature and concealed heating element. The glass kettle also features a push-button lid and easy-pour spout that make filling and serving even cleaning easily. Serving at the table is no problem as the kettle lifts right off the 360-degree rotating base without the cord, and a cord wrap is under the base for space-saving storage when not in use. A 365-day warranty is included with this product.
Brand NETTA
Model Number NT-3000W-TEMPCONTROL-1.7LGLASSKETTLE
Package Dimensions 26.92 x 24.13 x 19.05 cm; 1.46 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Special Features Boil_Dry_Protection, Concealed_Heating, Cordless
Item Weight 1.46 kg
",other,other,1.46kg,1.7L
"Salter EK2841SS Colour Changing Glass Kettle with Red-Blue LED Illumination, 2200 W, 1.7 Litre, Silver | Strix Controller | Anti-Scale Filter | 360°C Swivel Base
Brand Salter
Colour Red/Blue
Material Glass
Item Dimensions  L x W x H 22.5 x 16.5 x 22.5 centimetres
Whether it is a quick morning coffee or afternoon tea with friends, boil your water in style with this Salter Colour Changing Kettle.
Powered by 2200 W, this kettle makes quick work of boiling your water and has a 1.7 litre capacity, enough for up to 8 standard cups.
Smart and attractive in the kitchen, this kettle features dual LED lights that switch from blue to red when your water is boiling.
Includes a 360° swivel base for left and right handed users, plus integrated strix control and auto-shut off for total peace of mind.
Fitted with a lime scale filter, this glass kettle is finished with stylish steel accents and is sure to compliment most colour schemes.
Brand Salter
Model Number EK2841SS
Colour Red/Blue
Product Dimensions 22.5 x 16.5 x 22.5 cm; 1.48 Kilograms
Volume Capacity 1.7 litres
Material Glass
Special Features Water_Filter
Item Weight 1.48 kg
",glass,red,1.48kg,1.7L
"1.7L Glass and Stainless-Steel Illuminating Kettle / Fast Boil 2200W / Spout Filter / Overheat Protection / Non-Slip Feet / Cord Storage / BPA Free
Brand Quest
Capacity 1.7 litres
Material Stainless Steel and Glass
Power / Wattage 2200 watts
1.7L ILLUMINATING KETTLE - With a 1.7 litre capacity cordless jug, this 2200W fast-boil kettle is big enough to make up to six cups at once, making it a great choice for family homes or offices – perfect for everyday use. When on, the blue LED light illuminates the glass for a sleek and classy look.
SPOUT FILTER – The spout has a removeable and washable filter which makes the kettle easy to clean and maintain, keeping it working to its highest performance. It has a push button lid for easy filling, 360-degree swivel base and automatic cut off for safety.
NON-SLIP FEET AND CORD STORAGE – As well as having non-slip feet, the kettle base includes handy cord storage to keep your worktops tidy and fuss-free. Combining modern design with practical performance, it makes a stylish addition to any kitchen.
DURABLE AND EASY CLEAN – This fast-boil kettle has a glass and brushed stainless steel body, lid and base which wipe down easily and resists denting, rusting, scratching and discoloration. With the kettle’s water level gauge, you can easily see and measure how much water you are putting in the kettle while filling it to avoid waste.
QUEST APPLIANCES - Quest are the leading manufacturer of cooking appliances ideal for giving you a helping hand in the kitchen. From omelette makers & waffle makers, to teppanyaki grills & air fryers, visit the Quest store on Amazon to view the whole range.
Brand Quest
Model Number 34260
Package Dimensions 23.5 x 23 x 16.8 cm; 1.1 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Material Stainless Steel and Glass
Auto Shutoff No
Special Features Cordless
Item Weight 1.1 kg
",metal,other,1.1kg,1.7L
"Fellow CD Stagg Black mat Ellectric Kettle Stag EKG with a Capacity of 900 ml
Brand Fellow
Colour Black
Material Stainless Steel
Power / Wattage 1200 watts
Item Dimensions  L x W x H 27.7 x 24.4 x 23.4 centimetres
The practical capacity of 900 ml allows coffee to be brewed for the whole family.
The contoured neck and precise spout give you control over the water jet. Electronic temperature control from 57 to 100 degrees Celsius.
Automatic kettle off after 15 minutes of inactivity. Stopwatch function. The LCD display has a time display function, which is especially useful when brewing coffee by alternative methods. Fast water heating thanks to 1200 W.
Body and cover made of Quality 304 18/8 stainless steel. Dimensions: 29.2 cm x 17.1 cm x 20.3 cm. Power supply / power: 220 V. Plug type: Type C/EF - 2 pin (Europlug/FR-DE Hybrid).
Brand Fellow
Model Number 1137
Colour Black
Product Dimensions 27.7 x 24.4 x 23.4 cm; 2.05 Kilograms
Volume Capacity 0.9 litres
Power / Wattage 1200 watts
Material Stainless Steel
Item Weight 2.05 kg
",metal,black,2.05kg,0.9L
"Russell Hobbs Cambridge 1.7 Litre, 3000 W Kettle 20070, Brushed Stainless Steel Silver Kettle (Renewed)
Brand Russell Hobbs
Colour Silver
Capacity 1.7 litres
Material Stainless Steel, Plastic
Power / Wattage 3000 watts
Designed with a elegant brushed stainless steel outer casing with black plastic accents this kettle would look at home in any kitchen
Having a large 1.7 L capacity translates as roughly seven cups of water boiled at a time and means you can get through large brew rounds much quicker
A rapid boil zone indicator within the kettle allows you to fill just the right amount of water and boils one cup super-fast taking only 45 seconds
The removable washable lime scale filter will keep your brew tasting amazing and is ideal for those living in hard water areas
Suitable for both right handed and left handed users, the 360 degrees base means no matter where your new kettle lives it's always within easy reach
Brand Russell Hobbs
Model Number 20070-cr
Colour Silver
Product Dimensions 15 x 21.5 x 23 cm; 990 Grams
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel, Plastic
Special Features Boil Dry Protection, Cordless, Concealed Heating, Boil Dry Protection, Concealed Heating, Cordless
Item Weight 990 g
",metal,silver,990g,1.7L
"Wilfa WK-5B Kettle, Black
Brand Wilfa
Colour Black
Power / Wattage 1500 watts
Item Dimensions  L x W x H 21.3 x 22 x 15.6 centimetres
1 litre
Water level indicator
Ergonomic handle
Model number: WK-5B
Brand Wilfa
Model Number WK-5B
Colour Black
Product Dimensions 21.3 x 22 x 15.6 cm; 1 Kilograms
Volume Capacity 1 litres
Power / Wattage 1500 watts
Item Weight 1 kg
",other,black,1kg,1L
"Electric Kettle Health Pot Full Automatic Thickened Glass Multifunctional Black Tea Boiled Medicine Home 1.8L
Brand GHP
Colour Black
Capacity 1.8 litres
Product Name: Electric kettle and health pot
Product capacity: 1.8L
Product weight: 3kg
Material: 304 stainless steel, tempered glass panel, one touch screen
Product function: intelligent automatic, can stand lid, 24 hours appointment, considerate insulation
Brand GHP
Model Number 811A
Colour Black
Capacity 1.8 litres
Volume Capacity 1.8 litres
",metal,black,1.8kg,1.8L
"Adler Black Kettle Made of Glass with Capacity of 1.7 liters and 2000 W Power AD 1274
Brand Adler
Colour Black
Capacity 1.7 litres
Power / Wattage 2200 watts
Item Dimensions  L x W x H 16 x 19 x 21.5 centimetres
The blockade will also prevent the activation of an empty kettle, thus saving energy and ensuring the user's safety. The sludge filter will ensure adequate water quality.
For convenience, it was equipped with a swivel base, flat bottom and heater behind stainless steel and a lamp informing about boiling water. Allows to boil 1.7 liters of water once.
Rotating base and flat bottom. Traditional shape of a pitcher in a modern version. Button for opening the lid. Water level indicator with scale.
Calcium sediment trap filter. Heater made of stainless steel. Automatic shut-off after boiling water. LED backlight.
Brand Adler
Model Number AD-1274
Colour Black
Product Dimensions 16 x 19 x 21.5 cm; 898.11 Grams
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Special Features Water_Filter
Item Weight 898 g
",glass,black,898g,1.7L
"Tefal Loft KO251440 Rapid Boil Traditional Kettle – 1.7L / Midnight Blue & Rose Gold Blue, Rose, Plastic, 3000 W
Brand Tefal
Colour Midnight Blue & Rose Gold
Material Plastic
Power / Wattage 3000 watts
Item Dimensions  L x W x H 16.7 x 22.8 x 22.4 centimetres
Striking black and chrome kettle – part of the Loft Breakfast set* created by influential British design house, Seymourpowell
Distinctive fluted design and high-gloss finish inspired by traditional British ceramics to bring a touch of style to the worktop
Large 1.7L capacity – enough for all your friends and family
Narrow spout for precision pouring (no spills)
3,000W for hot water in no time
Brand Tefal
Model Number KO251440
Colour Midnight Blue & Rose Gold
Product Dimensions 16.7 x 22.8 x 22.4 cm; 1.31 Kilograms
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Plastic
Item Weight 1.31 kg
",plastic,blue,1.31kg,1.7L
"Wilfa WSPOK-1000B Kettle, Black
Brand Wilfa
Colour Black
Capacity 0.8 litres
Power / Wattage 1000 watts
Item Dimensions  L x W x H 20.7 x 23.8 x 21.5 centimetres
Hand brew kettle
0.8 litre capacity
1000 watts
Stainless steel
360 degree stand
Brand Wilfa
Model Number WSPOK-1000B
Colour Black
Product Dimensions 20.7 x 23.8 x 21.5 cm; 1.19 Kilograms
Capacity 0.8 litres
Volume Capacity 0.8 litres
Power / Wattage 1000 watts
Item Weight 1.19 kg
",metal,black,1.19kg,0.8L
"Russell Hobbs Dorchester Kettle, Red, 1.7 Litre, 3000 Watt
Brand Russell Hobbs
Colour Red
Capacity 1.7 litres
Material Stainless Steel
Power / Wattage 3000 watts
1.7L red stainless steel kettle with black plastic Accents
Matching 2 Slice toaster and other colours available
Rapid boil Zone feature denoting 1/2/3 cup volumes
360° base with integrated cord storage
The perfect pour spout means you’ll have no splashes or spills with this kettle, but instead you’ll get a smooth and safe delivery
Brand Russell Hobbs
Model Number RU-20092
Colour Red
Product Dimensions 16.2 x 23.4 x 24.5 cm; 989 Grams
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Auto Shutoff No
Item Weight 989 g
",metal,red,989g,1.7L
"3.5L Steel Matt Cream Whistling Kettle for Boat Hob Gas Electric
Brand Prima
Colour Beige
Capacity 14 Cups
Material Steel
Colour & Finish: Cream, Matt
These kettles are suitable for gas and electric hobs
3.5L approximate capacity
Stainless Steel
Phenolic, heat resistant handle.
Brand Prima
Model Number GS10J-LG
Colour Beige
Package Dimensions 25 x 22.8 x 22.6 cm; 1.15 Kilograms
Capacity 14 Cups
Volume Capacity 3.5 litres
Material Steel
Item Weight 1.15 kg
",metal,beige,1.15kg,3.5L
"Ariete 2854B Moderna Cordless Electric Kettle, Stainless Steel Body, 1.7 Litre Capacity, Black
Brand Ariete
Colour Black
Material Stainless Steel
Item Dimensions  L x W x H 19.5 x 54.5 x 29 centimetres
Combine extravagant Italian style with substance with the Moderna Kettle range
1.7 Litre Capacity
Stainless Steel Body
External Thermometer for Water Temperature
Cordless with 360 Degree Base
Brand Ariete
Colour Black
Product Dimensions 19.5 x 54.5 x 29 cm; 2.1 Kilograms
Volume Capacity 1.7 litres
Material Stainless Steel
Special Features Cordless
Item Weight 2.1 kg
",metal,black,2.1kg,1.7L
"Haden Boston Cordless Kettle- Electric Pyramid Fast Boil Kettle, 3000W, 1.7 Litre, Cream - CE30 188106
Brand	HADEN
Colour	Cream
Capacity	1.7 litres
Voltage	230 Volts
Wattage	3000 watts
STYLISH SIMPLICITY » Pretty and practical, what’s not to love? The conveniently cordless kettle has a BPA free lightweight stainless-steel body and 360° swivel base. The sleek design makes this kettle both easy to use and easy on the eye
BRITISH INSPIRED » Since 1958, Haden have been the pioneers of coloured kettles, inspired by the British countryside. Whichever vibrant colour you choose, our kettles are made to last with the quality that you have trusted for generations
FUNCTIONALLY ELEGANT» This electric kettle brings a note of elegance and sophistication to any kitchen. The silent boil kettle features a 1.7 litre capacity, with a convenient water viewing window as well as a light indicator during boiling
ENERGY EFFICIENT » The Boston Kettle boils water, and fast! The clear water window has markers indicating the water level in the kettle, so you only use what you need. It also features a removable filter to prevent limescale build up. Additional filter included
COMPLETE YOUR KITCHEN » Haden’s Boston collection also has a matching toaster. Complete your kitchen with these countertop beauties which are an inspired addition to any home
Brand Name	HADEN
Capacity	1.70 litres
Colour	Cream
Ean	5021961188106
Included Components	no_components
Item Volume	1.70 litres
Item Weight	100 grams
Model Number	188106",metal,cream,100g,1.7L
"Kitchen Perfected E886 Travel Kettle With Cups
Brand Kitchen Perfected
Colour White
Capacity 0.9 litres
Material Plastic
Voltage 230 Volts
0.9L capacity (5 mugs approx). Universal voltage.
Power ""on"" button with LED indicator.
Automatic switch off. Manual override / Off button.
Ultras light construction.
Stainless steel heating element. Boil dry protection.
Brand Kitchen Perfected
Model Number E886
Colour White
Capacity 0.9 litres
Volume Capacity 0.9 litres
Power / Wattage 1000 watts
Voltage 230 Volts
Material Plastic
Auto Shutoff Yes
Special Features Boil Dry Protection
",plastic,white,900g,0.9L
"Smarter SMKET01-UK iKettle, 3rd Generation, Stainless Steel Smart Kettle with WiFi, Digital temperatures, 3000 W, 1.8 litres, 1.8 liters
Brand Smarter
Colour Stainless Steel
Capacity 1.8 litres
Material Stainless Steel
Voltage 240
Remote boil your iKettle from anywhere using the Smarter app.
By using the Smarter app customise your settings to set alarms and prompts with ‘Wake Up’, ‘Home’ or ‘Formula’ mode for your iKettle.
Adjust your iKettle's desired boiling temperature between 20-100 degrees via the Smarter app.
Connect your iKettle with other smart home devices using IFTTT and Amazon Alexa.
Simple and secure device pairing with Blink Up allows instant setup between your Smarter Coffee and Smarter app in seconds.
Brand Smarter
Model Number 88-SMKET01-UK
Colour Stainless Steel
Product Dimensions 15.4 x 21 x 27.4 cm; 1.5 Kilograms
Capacity 1.8 litres
Volume Capacity 8.86 litres
Power / Wattage 3000 watts
Voltage 240
Material Stainless Steel
Auto Shutoff No
Item Weight 1.5 kg
",metal,other,1.5kg,1.8L
"Alcheringa Collapsible Travel Electric Silicone Kettle 0.6L
Brand Alcheringa
Colour Beige
Capacity 0.6 litres
Material Stainless Steel
Foldable Kettle : Simply expand to fill and boil up to 0.6L (~2 average cups) of water, or easily collapse and store away! Perfect travel kettle to bring along, wherever your travels may lead you.
Light & durable kettle: Lightweight yet strong BPA Free food-grade silicone kettle, safe even with high temperatures. Stainless steel base is stain- and corrosion-resistant. Made to last and provide better tasting water!
Temperature Adjustable Kettle: The electric kettle provides 4 different heating modes. Tea mode will heat to 82o C, Coffee will heat to 96 o C, Boiling will boil to 100o C, and Insulation will do its best to keep your water to a constant temperature!
Dual voltage and travel adapter: Easily switch between 110 and 220V for when you travel to foreign countries. With its travel adapter, the kettle can be used in UK, Europe, Russia and some South East Asian and African countries. Please message us if you’d like to check before buying.
Detachable power cord: Save even more space by unplugging power cord.
Brand Alcheringa
Model Number B07XFR9HSR
Colour Beige
Package Dimensions 17 x 13 x 12 cm; 750 Grams
Capacity 0.6 litres
Volume Capacity 0.6 litres
Material Stainless Steel
Item Weight 750 g
",metal,beige,750g,0.6L
"Russell Hobbs 23211 Luna Quiet Boil Electric Kettle, Stainless Steel, 3000 W, 1.7 Litre, Grey
Brand Russell Hobbs
Colour Grey
Capacity 1.7 litres
Material Stainless Steel
Power / Wattage 3000 watts
Rapid boil zone technology, boils water for one cup (235 ml) up to temperature in just 45 seconds
The Luna Kettle saves up to 66 percent energy by boiling one cup (235 ml) vs 1 Litre
Boil dry protection in case you hit the switch without filling it first. Power light indicator
It also boasts a removable, washable filter, a concealed heating element and ideal pour water spout
2 years guarantee plus 1 year when registered online
Brand Russell Hobbs
Model Number 23211
Colour Grey
Product Dimensions 22.5 x 15.8 x 24.5 cm; 1.47 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Auto Shutoff No
Special Features Boil_Dry_Protection, Concealed_Heating
Item Weight 1.47 kg
",metal,grey,1.47kg,1.7L
"WEEKETT Electric Kettle (Non WiFi) | 4 Temperature Control 2200W with Keep Warm Function, Stainless Steel, 1.7L
Brand WEEKETT
Material Stainless Steel
Power / Wattage 2200 watts
2 Year Manufacturer Guarantee with UK based customer services. Temperature Control Digital Kettle: 4 temperature settings 70,80,90,100℃ - perfect for tea, coffee lovers and new parents. The kettle can also keep warm for 30 minutes for 70°C,80°C & 90°C.
2200W Fast Boil Kettle: The kettle is powered by 2200 watts heating element, heats up a mug of water in 1 minute. It also switches off automatically after reaching target temperatures.
Brushed Stainless Steel Kettle: Made of 304 food grade stainless steel, a premium material for heating up water, more durable and easier to clean. Cordless design and large spout for the perfect pour.
1.7L Capacity: Whether it is for your whole family or just for yourself, we have got you covered.
Water Gauges on both sides: easy to see how much water left.
Brand WEEKETT
Package Dimensions 29 x 27 x 23 cm; 1.64 Kilograms
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Material Stainless Steel
Item Weight 1.64 kg
",metal,other,1.64kg,1.7L
"Kitchen Originals Polka Dot Electric Dome Kettle
Brand Kalorik
Colour Black
Capacity 1.7 litres
Material Stainless Steel
Voltage 230
Timeless design: this electric dome kettle combines a classic hand-printed Red & white retro polka dot finish with high-grade stainless steel housing to make for a clean and elegant addition to any kitchen.
Easy brewing: removable snap-fit lid for easy cleaning and easy filling up to a generous 1.7L water capacity. Transparent water level indicator makes measuring simple.
Rapid boil technology: The powerful 3000W concealed element boils a full pot (1.7L) in just a few minutes - ideal for that quick ad break cuppa.
Safety features: kettle comes equipped with boil-dry protection - detects when the kettle is empty for automatic switch-off. Ergonomic Cool touch handle stays comfortable and safe after boiling at any capacity.
Reliable filtration: nylon-mesh filter is removable and washable for stress-free cleaning.
Brand Kalorik
Colour Black
Product Dimensions 19 x 21.5 x 27.9 cm; 1.21 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000
Voltage 230
Material Stainless Steel
Special Features Rapid Boil Technology & Boil Dry Protection, Concealed Heating & Cool Touch Handle, Removable & Washable Filter, Automatic Shut-Off, Hand printed Design
Item Weight 1.21 kg
",metal,black,1.21kg,1.7L
"Geepas 1.7L Cordless Electric Kettle | Safety Lock, Boil Dry Protection & Auto Shut Off Feature | Fast Boil & Ease to Clean | Ideal for Hot Water, Tea & Coffee Maker | 2200W - 2 Year Warranty
Brand Geepas
Capacity 1.7 litres
Material Plastic
Power / Wattage 2200 watts
Item Dimensions  L x W x H 19 x 14 x 23 centimetres
✅ AUTO SHUT-OFF & BOIL-DRY PROTECTION - Automatic shut off function upon boiling and the boil-dry protection prevents it boiling if there is insufficient water present.
✅ BPA FREE & CAPACITY 1.7L - The capacity is 1.7L so will be good size for the family. Large size for making multiple cups of tea or coffee. To make pouring comfortable and easy the kettle features an ergonomic handle.
✅ ON/OFF SWITCH, MEASUREMENT MARKINGS - The kettle body has markings on it that let you know exactly how much water are you pouring inside. One-button pop-up lid, you can use one hand quickly & flexibly. One look at enough to understand what state the kettle is in.
✅ DETACHABLE BASE, CONCEALED HEATING ELEMENT - To keep the kitchen tidy, the base has integrated cord storage so it can be tidied away at your convenience.
✅ 2 YEARS MANUFACTURER WARRANTY INCLUDED
Brand Geepas
Model Number GK38029UK_WT
Product Dimensions 19 x 14 x 23 cm; 880 Grams
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Material Plastic
Item Weight 880 g
",plastic,other,880g,1.7L
"Vinekraft Traditional Kettle with Whistle Stainless Steel Teapot Induction Water Kettle 2.7 Litre -Black
Brand Vinekraft
Colour Black
Material Stainless Steel
★ Fixed whistle, stainless steel ring around spout.
★ Suitable for use on all heat sources.
★ Easy to clean, large capacity to hold 2.7 litre.
★ Food grade stainless steel kettle with stay-cool handle.
★ Friendly customer service with 12-month guarantee, contact us any time.
Brand Vinekraft
Model Number EWQ-JS-0105-4544
Colour Black
Package Dimensions 20.32 x 19.56 x 16.51 cm; 700 Grams
Volume Capacity 1 litres
Material Stainless Steel
Item Weight 700 g
",metal,black,700g,2.7L
"12V Car Electric Heating Cup, Stainless Steel Vacuum Car Heating Mug, Heated Travel Cup Electric Kettle 750ml
Brand Yosoo Health Gear
Capacity 0.75 litres
Material Stainless Steel
Power / Wattage 120 watts
[Portable Electric Heating Cup]: This car electric heated cup can heat your coffee or tea in your car; Great insulation effect, firm plastic handle, this car travel heated mug fits most car cup holders
[Sealed Kettle Cover]: The kettle cover is made of high quality silicon gel, safe and non-toxic; Good sealing performance to keep water warm, and ensures that the drink does not spill over
[High Quality]: Food grade 304 stainless steel and PP material with good insulation effect, safer to drink the boiled water; 750ml capacity, great for travel use when going out with families
[Convenient to Use]: Powered by DC 12V cigarette lighter plug; Indicator light that surround the cable will keep on red till the water boil and turn to green if water boiled
[100% Satisfaction]: If you have any question about this item, please feel free to contact us, we will help you within 24 hours
Brand Yosoo Health Gear
Model Number Jarchiixuepzi5ga2
Capacity 0.75 litres
Volume Capacity 0.75 litres
Power / Wattage 120 watts
Material Stainless Steel
Item Weight 520 g
",metal,other,520g,750ml
"Severin Jug Electric Kettle with 2200 W of Power WK 3410, Black
Brand Severin
Colour Black
Capacity 1 litres
Power / Wattage 2200 watts
Item Dimensions  L x W x H 20.9 x 14.9 x 23.3 centimetres
Removable anti-calk filter easy to clean. 360° rotatable wireless base available on all sides. A covered heating element. Overheating protection.
Automatic steam stop. On/ off switch with indicator light. Thermally insulated handle. Otter controller.
Non-slip feet. Cable retractor. Power: 2200 W. Capacity: 1.0 L.
Brand Severin
Model Number 3410-000
Colour Black
Product Dimensions 20.9 x 14.9 x 23.3 cm; 794 Grams
Capacity 1 litres
Volume Capacity 1 litres
Power / Wattage 2200 watts
Special Features Water_Filter
Item Weight 794 g
",metal,black,794g,1L
"Team Kalorik TKG JK 1045 AG Electric Kettle, 2400 W, 1.7 liters, Applegreen
Brand Team Kalorik
Colour Applegreen
Capacity 1.7 litres
Material Metal
Voltage 230
Stainless steel electric kettle with a capacity of 1. 7 litres to quickly heat large quantities of water
Removable, button-operated lid for easy filling and cleaning, Transparent water level indicator, Removable, washable particle filter
On/Off button, Automatic shut-off when boiling finishes, Power indicator light
Cordless with a 360° rotatable base, Cord storage in the base, Hidden stainless steel heating element for easy cleaning, Protection against dry boiling and overheating, Non-slip feet for stable support
Contents: 1 Team Kalorik Kettle, Instruction Manual, Capacity: 1. 7L, Materials: Stainless Steel/Plastic, Colour: Light Green, TKG JK 1045 AG
Brand Team Kalorik
Model Number 5413346338235
Colour Applegreen
Product Dimensions 20 x 24 x 30 cm; 1.15 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 2400 watts
Voltage 230
Material Metal
Special Features Cordless
Item Weight 1.15 kg
",metal,green,1.15kg,1.7L
"Qiilu 12V 150+300ML Stainless Steel Travel Heating Cup Mug, Electric Travel Thermoses Cup Coffee with Lighter Cable
Brand Qiilu
Colour Silver
Material Stainless Steel
【Prime Quality】Selected with food grade 304 stainless steel and PP. Also, sealed boiler cover is made of high quality silicone gel, safe and non-toxic, good sealing performance that keeps water warm and ensures that the drink does not overflow. Exactly checked before leaving the factory.
【Practical Application】 The car's 12V DC car cigarette lighter allows users to comfortably drink hot water while driving. The cable for the cigarette lighter is included in the set, so this excellent kettle can be used for most vehicles. Easy to use.
【Clever Design】 Provided with vacuum insulation technology inside and outside the kettle, it has good insulation and prevents burns. In addition, there is a removable cup on the floor that is more comfortable to drink.
【Family Partner】 Sufficient capacity is great for traveling when you go out with families or groups. Widely used, car kettle suitable for cooking water, coffee and so on. Feel free to enjoy your own journey.
【Good after-sales service】 As a responsible seller, our company grants 365 days warranty. If you have any questions, please contact us directly. Our staff will do everything to help you.
Brand Qiilu
Model Number YK-QC09702-FBA
Colour Silver
Package Dimensions 20.1 x 12.8 x 9.1 cm; 350 Grams
Volume Capacity 0.3 litres
Material Stainless Steel
Item Weight 350 g
",metal,silver,350g,1.8L
"Infapower 1.8L Stainless Steel Cordless Kettle
Cordless
Brand Infapower
Model Number X503
Colour Stainless Steel
Package Dimensions 23.5 x 20.8 x 17 cm; 1 Kilograms
Volume Capacity 1.8 litres
Energy Efficiency Class A to E
Runtime 0 minute
Special Features Cordless
Item Weight 1 kg
",metal,other,1.0kg,1.8L
